상담회아이디,상담회주소,년,달,일,업체명,업종,설립년도,주소,홈페이지
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,SAMJIN GLOBALNET,"무역업, 임대",1970,"562, Samseong-ro, Gangnam-gu, Seoul, Republic of Korea",http://www.wangfood.com/
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"HURUM CO.,LTD","식품,잡화,무역",1995,"115, Gasan digital 2-ro, Geumcheon-gu, Seoul",hurumcorp.com/
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,kkokdam,"꽃차,기타",2016,,www.iloveflowertea.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,KURAKURA,도소매(차류),2017,"402, 22, Nonhyeon-ro 36-gil, Gangnam-gu, Seoul, Republic of Korea",kurakura.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Taewoongfood Co.,Ltd.","인삼, 홍삼제품, 음료류 제조도소매, 수출, 무역",2000,"21 Daegeum-ro 196 beon-gil, Daeso-myeon, Eumseong-gun, Chungcheongbuk-do, Korea",http://www.twfood.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Korean pears cooperative union,농업,2012,"218, Dusan-gil, Munsan-eup, Jinju-si, Gyeongsangnam-do",N
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"GREEN VIL CO., LTD.",무역,2009,"#701, 40 Technosangeop-Ro, Hyeonpoong-Myeon, Dalseong-Gun, Daegu, Korea, 43017",https://www.greenvil.co/
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,BADA MYEONGGA,수산물가공업,2014,,www.wandomall.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,BIFIDO,유산균 외,1999,"23-16 Nonggongdanji-gil, Hongcheon-eup, Hongcheon-gun, Gangwon-do, 25117, Republic of Korea",www.bifido.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Seung In Food Co., Ltd","참기름,들기름",2015,"58, Nakdongnam-ro 1013beon-gil, Gangseo-gu, Busan",http://seunginfood2.modoo.at
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,[K08] EVERGOOD CORPORATION,"무역(농산물),농산물",2009,,N
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,CHONMA CORPORATION,제조 도소매,1999,"29-8, Baekjegobun-ro 40-gil, Songpa-gu, Seoul, Republic of Korea",chonmafood.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"EBICHE CO.,LTD",제조업,2000,"21, HWANGGANG GONGDANGIL, IMGOMYEON, YOUNGCHUNSI, GYEONGSANGBUKDO,KOREA",www.ebiche.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"FOODMASTERGROUP CO., LTD",도소매,2017,"215-6, Yulgok-ro, Jongno-gu, Seoul",www.drholipet.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,MUNGYEONG SMILE,식품제조,2013,"597, Sandong-ro, Sanyang-myeon, Mungyeong-si, Gyeongsangbuk-do",www.easternsmile.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,sorae agricultural association,도소매 제조업,1970,"254-6, Hyeeum-ro, Deogyang-gu, Goyang-si, Gyeonggi-dok Korea",www.kimsorae.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Herb Story Inc.,"제조,서비스",2015,136 woongok-ro Wonju-si Gangwon-do South Korea,www.herbstory.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"wellfarm co., ltd",식품,2002,"87 Geumil-ro, 546beon-gil, Geumwang-eup, Eumgseong Gun, Chungcheongbuk-do, South Korea",www.well-farm.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"wooshin industrial co., ltd.",제조,1995,"18,oebu-gil, gunbuk-myeon, geumsan-gun, chungchong nam-do, Korea",y
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"worldfood co.,ltd",도매업및소매업,2000,"45-78, yonggu-dae",www.murgerbon.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,JFOODSERVICE,식품제조*소분*무역,2010,,www.jfoodservice.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"DAEKWANG F&G CO.,LTD",제조업외,1990,,www.dkfng.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Imsil cheese livestock cooperative association,"제조, 금융, 서비스",1992,"329, Bonghwang-ro, Imsil-eup, Imsil-gun, Jeollabuk-do",www.ischeese.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Joy Natural Co.,"식료품제조업, 농산물판매",2007,"208, 3702 Namboo-ro, Samseung-myeon, Boeun, Choongbook-do, South Korea",www.enjoygarlic.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,DELLOS F AND B,"무역, 식품(음료)",2014,"159, Usangongdan-gil, Wonju-si, Gangwon-do",www.dellos.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,BIFIDO,유산균 외,1999,"23-16 Nonggongdanji-gil, Hongcheon-eup, Hongcheon-gun, Gangwon-do, 25117, Republic of Korea",www.bifido.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Punggi Premium Goods Agricultural Cooperative,제조업,1995,"1118 JUNGNYEONG-RO, PUNGGI-EUP, YEONGJU-SI, GYEONGSANGBUK-DO, SOUTH KOREA",www.kpch.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"HAEYEAREUM CO.,LTD",제조업,2009,"1520, Seonammun-ro, Docho-myeon, Sinan-gun, Jeollanam-do",www.haeyeareum.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Edible Inc.,제조,2014,"20, Seodal-ro 12sa-gil, Dongjak-gu, Seoul, Republic of Korea",edible-bug.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Korean Ginseng Research Co., Ltd.",제조,1996,"3275 Gyeonggang-ro,Yongmun-Myeon,Yangpyeong-Gun,Gyeonggi-Do, Korea",www.ginsengresearch.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"worldfood co.,ltd",도매업및소매업,2000,"45-78, yonggu-dae",www.murgerbon.com
