번호,분야,사업명,신청기간,소관부처,수행기관,등록일,조회수,비고
1141,인력,[서울] 2026년 청년일자리도약장려금 사업 참여기업 모집 공고,상시 접수,고용노동부,한국경영혁신중소기업협회,2026-03-20,4781,
1140,경영,[전남] 장성군 2026년 중소기업 특별지원지역 스마트기계전자산업 활성화 지원사업,2026-03-20 ~ 2026-04-30,중소벤처기업부,전남테크노파크,2026-03-20,3045,
1139,기술,[경기] 부천시 2026년 인공지능(AI) 기술개발 지원사업 참가기업 모집,2026-03-04 ~ 2026-03-27,경기도,부천산업진흥원,2026-03-20,3419,
1138,내수,[경기] 부천시 2026년 공공배달앱 배달특급 홍보물 제작 지원,예산 소진시까지,경기도,부천산업진흥원,2026-03-20,3042,
1137,기술,[경기] 부천시 2026년 3월 중소기업 지식재산 지원 사업공고,2026-03-01 ~ 2026-03-31,경기도,부천산업진흥원,2026-03-20,3093,
1136,기술,2026년 해남군 지방소멸대응 뿌리·조선산업 활성화 지원사업 모집 공고,2026-03-20 ~ 2026-04-17,중소벤처기업부,전남테크노파크,2026-03-20,2860,
1135,수출,[충북] 2026년 수요자 맞춤형 마케팅 통합 지원사업 참여기업 모집 공고,2026-03-13 ~ 2026-04-09,충청북도,충북바이오산학융합원,2026-03-20,3133,화장품/바이오 포함 기업 지원 가능
1134,내수,2026년 충북 BIO KOREA 전시참가 지원 모집 공고,선착순 접수,충청북도,충북바이오산학융합원,2026-03-20,3078,뷰티/바이오 기업 전시 참가 지원
1133,경영,사이버보안 취약점 진단사업 참여기업 모집 수정 공고,2026-03-12 ~ 2026-04-03,방위사업청,직접수행,2026-03-20,2852,
1132,수출,[경기] 2026년 게임 상용화 지원 사업 지원기업 모집 공고,2026-03-17 ~ 2026-04-01,경기도,경기콘텐츠진흥원,2026-03-20,3183,
1131,창업,[경기] 남부권역 2026년 초기성장 스케일업 패키지 참여기업 모집,2026-03-09 ~ 2026-04-01,경기도,경기콘텐츠진흥원,2026-03-20,3447,
1130,경영,2026년 방위산업기술 보호체계 구축·운영 지원사업 공고,2026-03-09 ~ 2026-04-09,방위사업청,직접수행,2026-03-20,2864,
1129,경영,2026년 전통문화 크라우드 펀딩 연계 지원 사업 참여기업 모집,2026-07-01 ~ 2026-07-31,문화체육관광부,한국공예디자인문화진흥원,2026-03-20,2973,
1128,내수,2026년 경기 콘텐츠코리아 랩 지역자원 활용 콘텐츠 제작지원,2026-03-16 ~ 2026-04-08,경기도,경기콘텐츠진흥원,2026-03-20,3099,
1127,경영,2026년 우수공예품 신규지정 공고,2026-03-04 ~ 2026-03-30,문화체육관광부,한국공예디자인문화진흥원,2026-03-20,2860,
