hs_code,country,buyer_name,annual_usd,shipments,last_date,buyer_type,city,source,product_category
854370,US,"Subaru of America, Inc.",,,,Importer,Madison,KOTRA_SNS_2025,기계/산업장비
850110,US,30 Records LLC,,,,Importer,The Bronx,KOTRA_SNS_2025,기계/산업장비
854370,UZ,Tashkent Pediatric Medical Institute,,,,Importer,Tashkent,KOTRA_SNS_2025,기계/산업장비
850440,MN,Facebook,,,,Importer,Ulan Bator,KOTRA_SNS_2025,기계/산업장비
854370,MN,"Ulaanbaatar, Mongolia",,,,Importer,Ulaanbaatar,KOTRA_SNS_2025,기계/산업장비
854370,IN,HomeSense Kolkata,,,,Importer,Kolkata,KOTRA_SNS_2025,기계/산업장비
854370,US,skinn4u,,,,Importer,Hyderabad,KOTRA_SNS_2025,기계/산업장비
854370,PH,Kusina Korner,,,,Importer,Manila,KOTRA_SNS_2025,기계/산업장비
841330,IN,Neptune Engineering,,,,Importer,Ahmedabad,KOTRA_SNS_2025,기계/산업장비
850440,GB,Innovate Republic ltd,,,,Importer,London,KOTRA_SNS_2025,기계/산업장비
854370,IN,Neoceutics,,,,Importer,Mumbai,KOTRA_SNS_2025,기계/산업장비
854370,PK,ATM events,,,,Importer,Karachi,KOTRA_SNS_2025,기계/산업장비
854370,IN,Techmahindra,,,,Importer,Bangalore,KOTRA_SNS_2025,기계/산업장비
850440,NP,"Ghimire International Co., Ltd.",,,,Importer,Kathmandu,KOTRA_SNS_2025,기계/산업장비
854370,JP,Braun or samsung,,,,Importer,Yokohama,KOTRA_SNS_2025,기계/산업장비
854370,EC,Epn,,,,Importer,Quito,KOTRA_SNS_2025,기계/산업장비
854370,US,ibs labs,,,,Importer,monterrey,KOTRA_SNS_2025,기계/산업장비
854370,PK,"Islamabad, Pakistan",,,,Importer,"Sakhakot, Distt Malakand",KOTRA_SNS_2025,기계/산업장비
854370,PK,HAFIZ MUHAMMAD YOUSAF SHABISTAN CINEMA ROAD STREET HAFIZ MUHAMMAD YOUSAF WALI DISTRICT SHEIKHUPURA P,,,,Importer,Sheikhupura,KOTRA_SNS_2025,기계/산업장비
854370,JO,Aqaba city center mall,,,,Importer,AQABA,KOTRA_SNS_2025,기계/산업장비
854370,KE,Wantrice Enterprises,,,,Importer,NAIROBI,KOTRA_SNS_2025,기계/산업장비
850110,CI,N'DANHAN GREEN,,,,Importer,Abidjan,KOTRA_SNS_2025,기계/산업장비
841330,HR,vestas,,,,Importer,zagreb,KOTRA_SNS_2025,기계/산업장비
854370,PE,UNSAAC,,,,Importer,Cusco,KOTRA_SNS_2025,기계/산업장비
841330,JP,自業,,,,Importer,Tokyo,KOTRA_SNS_2025,기계/산업장비
847989,CI,MTN Cote d'Ivoire,,,,Importer,Le Plateau,KOTRA_SNS_2025,기계/산업장비
841330,GH,Seidu Mohammed Abubakar ent,,,,Importer,Accra,KOTRA_SNS_2025,기계/산업장비
854370,ET,Louis Dreyfus Company,,,,Importer,Addis Ababa,KOTRA_SNS_2025,기계/산업장비
847989,TH,Music Extreme,,,,Importer,Bangkok,KOTRA_SNS_2025,기계/산업장비
854370,IN,Vaximum,,,,Importer,Bengaluru,KOTRA_SNS_2025,기계/산업장비
854370,ZA,725 Holdings,,,,Importer,Johannesburg,KOTRA_SNS_2025,기계/산업장비
847989,PA,Robotics Institute,,,,Importer,Sucursal Coco del Mar,KOTRA_SNS_2025,기계/산업장비
850440,ZA,Consumer Goods,,,,Importer,Johannesburg Metropolitan Area,KOTRA_SNS_2025,기계/산업장비
847989,IN,Maharana pratap school Bagidora,,,,Importer,Dungarpur,KOTRA_SNS_2025,기계/산업장비
847989,IN,Queenbots,,,,Importer,Bhubaneswar,KOTRA_SNS_2025,기계/산업장비
847989,MY,.,,,,Importer,Seremban,KOTRA_SNS_2025,기계/산업장비
847989,IL,Moonmed,,,,Importer,Ashkelon,KOTRA_SNS_2025,기계/산업장비
847989,VN,ALPHA TECHNOLOGY SOLUTIONS LLC,,,,Importer,Hanoi,KOTRA_SNS_2025,기계/산업장비
847989,VN,ASEA GLOBAL CO LTD,,,,Importer,Hanoi,KOTRA_SNS_2025,기계/산업장비
