hs_code,country,buyer_name,annual_usd,shipments,last_date,buyer_type,city,source,product_category
210690,VN,VN Food Supplements Import,1740000,13,2026-02-05,Health Distributor,Ho Chi Minh,Customs_VN,식품/건강기능식품
210690,VN,Healthy Foods Vietnam Corp,1116000,8,2026-01-12,Health Retailer,Hanoi,Customs_VN,식품/건강기능식품
210690,VN,Saigon Nutraceuticals LLC,1320000,10,2025-12-20,Nutraceutical Distributor,Ho Chi Minh,Customs_VN,식품/건강기능식품
210690,TH,Thai Health Products Import,1800000,14,2026-01-28,Health Distributor,Bangkok,Customs_TH,식품/건강기능식품
210690,US,US Natural Supplements Inc.,4800000,20,2026-02-20,Supplement Distributor,Los Angeles,Customs_US,식품/건강기능식품
210690,JP,Japan Wellness Import KK,3600000,18,2026-01-10,Health Distributor,Tokyo,Customs_JP,식품/건강기능식품
210690,PH,Ipolymer Solutions Corp.,,,,Importer,San Juan,KOTRA_SNS_2025,식품/건강기능식품
190211,NO,Z3merchandise,,,,Importer,Davao,KOTRA_SNS_2025,식품/건강기능식품
190590,PH,FILIPINO HOMEDEPOT HARDWARE & CONSTRUCTION,,,,Importer,santiago city isabela,KOTRA_SNS_2025,식품/건강기능식품
210690,OM,ImpEx,,,,Importer,Muscat,KOTRA_SNS_2025,식품/건강기능식품
210690,EG,Pharmacist,,,,Importer,Cairo,KOTRA_SNS_2025,식품/건강기능식품
210690,CA,80000,,,,Importer,agadir,KOTRA_SNS_2025,식품/건강기능식품
220299,GT,Agroindustria Legumex S.A.,,,,Importer,Guatemala,KOTRA_SNS_2025,식품/건강기능식품
210690,CA,Synergy Centre Pharmacy,,,,Importer,Fort McMurray,KOTRA_SNS_2025,식품/건강기능식품
210690,UZ,AKFA Medline,,,,Importer,Tashkent,KOTRA_SNS_2025,식품/건강기능식품
190590,TR,Consumer Goods,,,,Importer,Istanbul,KOTRA_SNS_2025,식품/건강기능식품
210690,ID,Wiraswasta,,,,Importer,Jakarta,KOTRA_SNS_2025,식품/건강기능식품
210690,ID,King Yulian Company,,,,Importer,Serang,KOTRA_SNS_2025,식품/건강기능식품
210690,IN,Mangalam industries  tamil madu . India,,,,Importer,Cuddalore,KOTRA_SNS_2025,식품/건강기능식품
210690,MY,Lomatoz Asia Sdn Bhd,,,,Importer,Kuala Lumpur,KOTRA_SNS_2025,식품/건강기능식품
210690,MY,HNJ FOOD SUPPLY SDN BHD,,,,Importer,Kuala Lumpur,KOTRA_SNS_2025,식품/건강기능식품
210690,VN,IPP Travel Retail,,,,Importer,Ho Chi Minh city,KOTRA_SNS_2025,식품/건강기능식품
190219,BD,Amana Food & Consumer Ltd,,,,Importer,Dhaka,KOTRA_SNS_2025,식품/건강기능식품
210690,PH,Pacific Summit Global Investment Corporation,,,,Importer,Makati,KOTRA_SNS_2025,식품/건강기능식품
210390,PK,BIBI,,,,Importer,Gujranwala,KOTRA_SNS_2025,식품/건강기능식품
210690,IN,Nashik,,,,Importer,Aurangabad,KOTRA_SNS_2025,식품/건강기능식품
190590,LK,Kekunawela International (Pvt.) Ltd.,,,,Importer,Matara,KOTRA_SNS_2025,식품/건강기능식품
210690,CA,In Your Daylight,,,,Importer,Toronto,KOTRA_SNS_2025,식품/건강기능식품
210690,IN,Consumer Goods,,,,Importer,Delhi,KOTRA_SNS_2025,식품/건강기능식품
190590,CI,Electronic Devices,,,,Importer,Abidjan,KOTRA_SNS_2025,식품/건강기능식품
190590,PH,Globe Telecom,,,,Importer,Mandaluyong,KOTRA_SNS_2025,식품/건강기능식품
190590,PH,Rhaya Store,,,,Importer,Cavite City,KOTRA_SNS_2025,식품/건강기능식품
