hs_code,country,buyer_name,annual_usd,shipments,last_date,buyer_type,city,source,product_category
620899,IN,debasish Mondal,,,,Importer,Murshidabad,KOTRA_SNS_2025,의류/패션
610443,BD,"Garan, Incorporated",,,,Importer,Chattogram,KOTRA_SNS_2025,의류/패션
610443,BD,"RR Sweaters , www.rrsweaters.com",,,,Importer,Dhaka,KOTRA_SNS_2025,의류/패션
621290,PK,2100 FAIR SUPPLIES INTERNATIONAL,,,,Importer,SIALKOT,KOTRA_SNS_2025,의류/패션
610443,BD,Dhaka Traders,,,,Importer,Dhaka,KOTRA_SNS_2025,의류/패션
621149,MN,munkhiinshuuder LLC,,,,Importer,"Ulaanbaatar, MONGOLIA",KOTRA_SNS_2025,의류/패션
621149,PK,ZORGO international,,,,Importer,Sialkot,KOTRA_SNS_2025,의류/패션
610443,CI,123 Print Services,,,,Importer,Abidjan/ Cte d'Ivoire,KOTRA_SNS_2025,의류/패션
621143,LK,Angola Enterprises,,,,Importer,Colombo Sri Lanka,KOTRA_SNS_2025,의류/패션
621112,VN,CEN group,,,,Importer,H Ni,KOTRA_SNS_2025,의류/패션
621112,US,gg,,,,Importer,and,KOTRA_SNS_2025,의류/패션
621112,VN,Tu xay,,,,Importer,Si Gn,KOTRA_SNS_2025,의류/패션
621112,US,hh,,,,Importer,bh,KOTRA_SNS_2025,의류/패션
621112,AE,xhvbbgtvtv,,,,Importer,Azizabad,KOTRA_SNS_2025,의류/패션
621112,US,dhsj,,,,Importer,hey,KOTRA_SNS_2025,의류/패션
621112,US,pht ti,,,,Importer,tphcm,KOTRA_SNS_2025,의류/패션
621112,VN,Healing Skin Therapy,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의류/패션
621112,US,meta,,,,Importer,ny,KOTRA_SNS_2025,의류/패션
621112,US,kcjc,,,,Importer,h j,KOTRA_SNS_2025,의류/패션
621112,US,gg,,,,Importer,and,KOTRA_SNS_2025,의류/패션
621112,RU,"Aquatransgroup Co., Ltd",,,,Importer,Vladivostok,KOTRA_SNS_2025,의류/패션
610463,GH,Student,,,,Importer,Yendi,KOTRA_SNS_2025,의류/패션
610463,GH,K.AGYEI FREEZING STM,,,,Importer,Accra,KOTRA_SNS_2025,의류/패션
610463,GH,mubash imperial limited.,,,,Importer,Accra,KOTRA_SNS_2025,의류/패션
610463,GH,home,,,,Importer,Kumasi,KOTRA_SNS_2025,의류/패션
610463,GH,Harmbot,,,,Importer,Koforidua,KOTRA_SNS_2025,의류/패션
610463,GH,Events Square,,,,Importer,Accra,KOTRA_SNS_2025,의류/패션
610463,GH,Upfield,,,,Importer,Accra,KOTRA_SNS_2025,의류/패션
621149,GH,Global Vision Enterprise,,,,Importer,Koforidua,KOTRA_SNS_2025,의류/패션
621149,GH,Jamkobaz Ventures,,,,Importer,Kumasi,KOTRA_SNS_2025,의류/패션
621149,GH,Olive  Ventures,,,,Importer,Sekondi/ Essikado,KOTRA_SNS_2025,의류/패션
