hs_code,country,buyer_name,annual_usd,shipments,last_date,buyer_type,city,source,product_category
901890,IN,Medix,,,,Importer,Chennai,KOTRA_SNS_2025,의약/의료기기
901890,IN,deepti international,,,,Importer,bhopal,KOTRA_SNS_2025,의약/의료기기
300490,PH,Blushing Blooms GRA Partner,,,,Importer,General Santos City,KOTRA_SNS_2025,의약/의료기기
901890,PH,de la salle araneta university,,,,Importer,valenzuela,KOTRA_SNS_2025,의약/의료기기
300490,PH,na,,,,Importer,Quezon City,KOTRA_SNS_2025,의약/의료기기
901890,PH,Aquabelleza Skin and Body,,,,Importer,Imus,KOTRA_SNS_2025,의약/의료기기
300490,CO,compensar,,,,Importer,Santiago de Cali,KOTRA_SNS_2025,의약/의료기기
300490,CL,Sf,,,,Importer,Santiago,KOTRA_SNS_2025,의약/의료기기
901850,IN,TRITHVAM INTEGRIS PVT LTD,,,,Importer,thrissur,KOTRA_SNS_2025,의약/의료기기
901831,TR,T.g.grup,,,,Importer,Bursa,KOTRA_SNS_2025,의약/의료기기
901890,MA,Sweetchouchou,,,,Importer,Casablanca,KOTRA_SNS_2025,의약/의료기기
300490,IN,Consumer Goods,,,,Importer,Bhiwandi,KOTRA_SNS_2025,의약/의료기기
300490,KE,Zuri Beauty Essentials,,,,Importer,Nairobi,KOTRA_SNS_2025,의약/의료기기
300450,ZA,jni,,,,Importer,randburg,KOTRA_SNS_2025,의약/의료기기
901890,CO,BLANCO Y POMBO SAS CIRUJANOS ESTETICOS ASOCIADOS,,,,Importer,Barranquilla,KOTRA_SNS_2025,의약/의료기기
300490,IQ,Government Jobs,,,,Importer,Erbil,KOTRA_SNS_2025,의약/의료기기
901839,PK,ahmad,,,,Importer,Peshawar,KOTRA_SNS_2025,의약/의료기기
901890,ET,SAINT PETER HOSPITAL,,,,Importer,Addis Ababa,KOTRA_SNS_2025,의약/의료기기
901890,ET,GoldEagle Trading PLC,,,,Importer,Addis Ababa,KOTRA_SNS_2025,의약/의료기기
901819,KE,Megascope Healthcare(K) Ltd,,,,Importer,Nairobi County,KOTRA_SNS_2025,의약/의료기기
901849,KE,Megascope Healthcare(K) Ltd,,,,Importer,NAIROBI,KOTRA_SNS_2025,의약/의료기기
901890,PK,zafson Pharma,,,,Importer,Peshawar,KOTRA_SNS_2025,의약/의료기기
901890,MA,Mohammdia,,,,Importer,Mohammedia,KOTRA_SNS_2025,의약/의료기기
901890,PE,STX Corporation Peru Branch Office,,,,Importer,Lima,KOTRA_SNS_2025,의약/의료기기
901890,PK,Enza Home Pakistan,,,,Importer,Rawalpindi,KOTRA_SNS_2025,의약/의료기기
901890,KZ,NCIE,,,,Importer,Astana,KOTRA_SNS_2025,의약/의료기기
901839,MY,saji Malaysia,,,,Importer,johor,KOTRA_SNS_2025,의약/의료기기
901890,MY,"Parkcity Medical Centre, Ramsay Sime Darby Healthcare",,,,Importer,Shah Alam,KOTRA_SNS_2025,의약/의료기기
901890,TZ,MICROBIO HEALTHCARE LIMITED,,,,Importer,Dar es Salaam,KOTRA_SNS_2025,의약/의료기기
300490,GH,P.T. Beauty Artistry,,,,Importer,Accra,KOTRA_SNS_2025,의약/의료기기
901890,BD,m/s.miaze enterprise,,,,Importer,Dhaka,KOTRA_SNS_2025,의약/의료기기
901890,IN,Trading enterprises,,,,Importer,Bangalore,KOTRA_SNS_2025,의약/의료기기
901890,BD,taj scientific,,,,Importer,Dhaka,KOTRA_SNS_2025,의약/의료기기
901849,PK,Open Dental Community,,,,Importer,Sialkot,KOTRA_SNS_2025,의약/의료기기
901849,BD,Bell View Hospital & Diagnostic  center pvt ltd.,,,,Importer,Barisal,KOTRA_SNS_2025,의약/의료기기
901890,PH,Vision Medical Solitions Inc.,,,,Importer,Davao City,KOTRA_SNS_2025,의약/의료기기
300490,NG,Purplepay,,,,Importer,Lagos,KOTRA_SNS_2025,의약/의료기기
901820,PE,Neoimpulso SAC,,,,Importer,Lima,KOTRA_SNS_2025,의약/의료기기
300490,US,Jointbiz Internacional,,,,Importer,Quito,KOTRA_SNS_2025,의약/의료기기
300490,EC,VASCHLABS,,,,Importer,Quito,KOTRA_SNS_2025,의약/의료기기
901890,US,Av Skin,,,,Importer,Santo Domingo,KOTRA_SNS_2025,의약/의료기기
901850,VN,MSD Vietnam Medical Solutions Development Joint Stock Company,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
300490,AE,Global Impax 3000,,,,Importer,Karachi,KOTRA_SNS_2025,의약/의료기기
901832,KE,Techno Brain Group,,,,Importer,"Nairobi , Kenya",KOTRA_SNS_2025,의약/의료기기
901850,MN,"Gerel Eye Clinic, Гэрэл ндний эмнэлэг",,,,Importer,Mongolia,KOTRA_SNS_2025,의약/의료기기
901811,MN,"АДАМ эрэгтэйчд, брний эмнэлэг",,,,Importer,Ulaanbaatar Mongolia,KOTRA_SNS_2025,의약/의료기기
901890,IN,ASM Buildtech,,,,Importer,Chandigarh,KOTRA_SNS_2025,의약/의료기기
901839,DZ,sarl antismer Alger,,,,Importer,Algiers,KOTRA_SNS_2025,의약/의료기기
901890,KE,AMML,,,,Importer,Nairobi,KOTRA_SNS_2025,의약/의료기기
901839,ZA,Handel Street Medical,,,,Importer,Durban south Africa,KOTRA_SNS_2025,의약/의료기기
901820,VN,Bachelor of Science,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
901890,VN,Hamatra Industries jsc.,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
901890,VN,BEENEXT,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
901890,VN,Netcore Cloud,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,Hastone,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
901890,VN,Dvk asia group,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
901890,VN,GHD JSC,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
901820,VN,Meditop,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,ViettinBPO,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901820,VN,Getz Healthcare,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
901890,VN,Bangkok Bank,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,Utop,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901841,VN,Sanko soken,,,,Importer,M Linh,KOTRA_SNS_2025,의약/의료기기
901890,VN,Rocket Equities,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,Philip Morris International,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,THC,,,,Importer,HCM,KOTRA_SNS_2025,의약/의료기기
901841,VN,Pharmacity,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,Phu My Hung,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,Core8,,,,Importer,đng xoi,KOTRA_SNS_2025,의약/의료기기
901890,VN,MANAM,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901841,VN,K9 Company,,,,Importer,Thnh ph H Ch Minh,KOTRA_SNS_2025,의약/의료기기
901820,VN,bioMrieux,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,Shinpoong,,,,Importer,Binh Thanh,KOTRA_SNS_2025,의약/의료기기
901890,VN,thien kim clinic,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
901841,VN,ASEA GLOBAL CO LTD,,,,Importer,Ha Noi,KOTRA_SNS_2025,의약/의료기기
901890,VN,Endomed,,,,Importer,Hanoi,KOTRA_SNS_2025,의약/의료기기
901890,VN,REBI BEAUTY  SPA _,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901841,VN,Sony Electronics,,,,Importer,Yen Nguu,KOTRA_SNS_2025,의약/의료기기
901890,VN,T nhn,,,,Importer,Thnh ph H Ch Minh,KOTRA_SNS_2025,의약/의료기기
901890,VN,Hyan beaute,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,Kmedia,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,VITA Clinic,,,,Importer,Thnh ph H Ch Minh,KOTRA_SNS_2025,의약/의료기기
901890,VN,T nhn,,,,Importer,ho chi minh,KOTRA_SNS_2025,의약/의료기기
901820,VN,ADPEXPORT,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,AZ,AL market,,,,Importer,Baku,KOTRA_SNS_2025,의약/의료기기
901890,AZ,Azerbaijan Industry and Agriculture Development and Studies Company,,,,Importer,Sumgayit,KOTRA_SNS_2025,의약/의료기기
901890,KZ,Karachaganak Petroleum Operating B.V. (KPO),,,,Importer,Almaty,KOTRA_SNS_2025,의약/의료기기
901890,UZ,"China CAMC Engineering Co.,LTD",,,,Importer,Bukhara,KOTRA_SNS_2025,의약/의료기기
901890,UZ,Uzbekistan Tashkent,,,,Importer,Tashkent,KOTRA_SNS_2025,의약/의료기기
901890,UA,менеджер по продажам,,,,Importer,Kharkiv,KOTRA_SNS_2025,의약/의료기기
901890,KZ,Global education,,,,Importer,Oskemen,KOTRA_SNS_2025,의약/의료기기
901890,UA,Креативный / проджект менеджер,,,,Importer,Poltava,KOTRA_SNS_2025,의약/의료기기
901890,KZ,Dostyq,,,,Importer,Астана,KOTRA_SNS_2025,의약/의료기기
901890,VN,World Mosquito Program (WMP),,,,Importer,Ho Chi Minh city,KOTRA_SNS_2025,의약/의료기기
901890,VN,JobHopin,,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
901890,VN,"Saigon Mansion serviced apartments in 3 Vo Van Tan, Dist 3",,,,Importer,Ho Chi Minh City,KOTRA_SNS_2025,의약/의료기기
