hs_code,country,buyer_name,annual_usd,shipments,last_date,buyer_type,city,source,product_category
870830,VN,Vietnam Auto Parts Import JSC,5100000,28,2026-02-25,Auto Parts Distributor,Ho Chi Minh,Customs_VN,자동차/부품
870830,VN,Saigon Motor Trading Co.,3720000,20,2026-01-30,Auto Parts Wholesaler,Ho Chi Minh,Customs_VN,자동차/부품
870830,VN,Hanoi Auto Components Import,2880000,15,2026-03-10,Auto Parts Distributor,Hanoi,Customs_VN,자동차/부품
870830,TH,Bangkok Auto Parts Import Ltd,4800000,24,2026-02-18,OEM Supplier,Bangkok,Customs_TH,자동차/부품
870830,US,USA Auto Components Corp,7200000,24,2026-03-05,Auto Parts Distributor,Detroit,Customs_US,자동차/부품
870899,PH,Skycable,,,,Importer,Quezon City,KOTRA_SNS_2025,자동차/부품
870323,TZ,Self Employed,,,,Importer,Dar es Salaam,KOTRA_SNS_2025,자동차/부품
870899,PK,abid Lifan,,,,Importer,Karachi,KOTRA_SNS_2025,자동차/부품
870840,PK,bumper2bumper.pk,,,,Importer,Lahore,KOTRA_SNS_2025,자동차/부품
401110,PK,Zahid Ali & Company,,,,Importer,Karachi,KOTRA_SNS_2025,자동차/부품
870390,PK,Huntsmen Leather Works,,,,Importer,Lahore,KOTRA_SNS_2025,자동차/부품
870850,PK,IFTI ENTERPRISES,,,,Importer,Karachi,KOTRA_SNS_2025,자동차/부품
870332,PK,A.A Gas Traders,,,,Importer,Lahore,KOTRA_SNS_2025,자동차/부품
870899,PK,ANWAR SONS,,,,Importer,Karachi,KOTRA_SNS_2025,자동차/부품
870899,US,Ozone Services Inc,,,,Importer,Queens,KOTRA_SNS_2025,자동차/부품
870899,NG,Self employment,,,,Importer,Ibadan,KOTRA_SNS_2025,자동차/부품
870332,NG,Success Gold Universal Investment Ltd,,,,Importer,Abuja,KOTRA_SNS_2025,자동차/부품
870899,NG,Damix Energy Ltd,,,,Importer,Lagos,KOTRA_SNS_2025,자동차/부품
870829,GH,Strategic Focus,,,,Importer,Accra,KOTRA_SNS_2025,자동차/부품
870899,EC,REPRESENTACIONES AR,,,,Importer,1100790011,KOTRA_SNS_2025,자동차/부품
870323,NG,PHYRAMD NETWORK BUSINESS ENTERPRISE,,,,Importer,Lagos,KOTRA_SNS_2025,자동차/부품
870899,ZA,ebone power,,,,Importer,pietermaritzburg,KOTRA_SNS_2025,자동차/부품
870899,GH,Westfield limitted,,,,Importer,"Obuasi , Ghana",KOTRA_SNS_2025,자동차/부품
870899,ET,Three doors,,,,Importer,Addis Ababa,KOTRA_SNS_2025,자동차/부품
870899,PK,Karsaz (Pvt.) Ltd.,,,,Importer,"karachi, Pakistan",KOTRA_SNS_2025,자동차/부품
870899,PK,Bussiman,,,,Importer,Quetta,KOTRA_SNS_2025,자동차/부품
870899,LY,omega,,,,Importer,Tripoli,KOTRA_SNS_2025,자동차/부품
870829,DZ,Teacher,,,,Importer,lardjem tissemsilt,KOTRA_SNS_2025,자동차/부품
870829,DZ,Boumerdes,,,,Importer,Naciria,KOTRA_SNS_2025,자동차/부품
870310,NG,Tblanca Marine Consults Ltd,,,,Importer,Nigeria,KOTRA_SNS_2025,자동차/부품
870899,NG,Hycalog,,,,Importer,Portharcourt Nigeria,KOTRA_SNS_2025,자동차/부품
870899,ID,Panca Logam,,,,Importer,Indonesia,KOTRA_SNS_2025,자동차/부품
