hs_code,country,buyer_name,annual_usd,shipments,last_date,buyer_type,city,source,product_category
851761,PH,dawns cafe,,,,Importer,Davao City,KOTRA_SNS_2025,전자/반도체
852580,IN,Hebe skin hair laser clinic,,,,Importer,Delhi,KOTRA_SNS_2025,전자/반도체
851770,UZ,Banu.com,,,,Importer,Tashkent,KOTRA_SNS_2025,전자/반도체
851769,PK,logic system Academy,,,,Importer,Peshawar,KOTRA_SNS_2025,전자/반도체
851769,IN,ROHAN,,,,Importer,pune,KOTRA_SNS_2025,전자/반도체
851762,PH,Sutherland Global Services,,,,Importer,Davao City,KOTRA_SNS_2025,전자/반도체
851770,BR,English Teacher,,,,Importer,So Paulo,KOTRA_SNS_2025,전자/반도체
851770,AE,Mohamed Hilal Group,,,,Importer,Dubai,KOTRA_SNS_2025,전자/반도체
851712,TR,Wapras,,,,Importer,Istanbul,KOTRA_SNS_2025,전자/반도체
851770,TZ,TIC,,,,Importer,Dar es salaam,KOTRA_SNS_2025,전자/반도체
851770,ZA,SolPower Company Limited,,,,Importer,Dar es Salaam,KOTRA_SNS_2025,전자/반도체
851770,NG,Work at Bitcoins trader/ Forex / Binary option,,,,Importer,maiduguri,KOTRA_SNS_2025,전자/반도체
847150,MZ,Miolo Consultoria E.I.,,,,Importer,Matola,KOTRA_SNS_2025,전자/반도체
847160,IN,United Brothers,,,,Importer,Thrissur,KOTRA_SNS_2025,전자/반도체
847160,IN,Sepl,,,,Importer,Delhi,KOTRA_SNS_2025,전자/반도체
847160,IN,Government of Meghalaya,,,,Importer,Nongpoh,KOTRA_SNS_2025,전자/반도체
847160,IN,Kbeautyindessentials,,,,Importer,Mumbai,KOTRA_SNS_2025,전자/반도체
847160,GH,GE Healthcare,,,,Importer,accra,KOTRA_SNS_2025,전자/반도체
854470,EC,Telecomunicaciones Equinocciales,,,,Importer,Quito,KOTRA_SNS_2025,전자/반도체
847160,NG,@glitzzapparell,,,,Importer,Abuja,KOTRA_SNS_2025,전자/반도체
847160,NG,The Royal house,,,,Importer,Ijebu Ode,KOTRA_SNS_2025,전자/반도체
847160,NG,Canarycreeks,,,,Importer,Lagos,KOTRA_SNS_2025,전자/반도체
851762,MN,"IMotors MN Автомашин худалдаа, лизинг",,,,Importer,Ulaanbaatar,KOTRA_SNS_2025,전자/반도체
847160,IN,solution desk,,,,Importer,Aurangabad,KOTRA_SNS_2025,전자/반도체
847160,SG,NOVO CONCEPTS,,,,Importer,Cuddalore,KOTRA_SNS_2025,전자/반도체
847160,NG,Madina.Africa,,,,Importer,Lagos,KOTRA_SNS_2025,전자/반도체
847160,NG,Civil servants,,,,Importer,Abeokuta,KOTRA_SNS_2025,전자/반도체
847160,US,venky oil trading company,,,,Importer,proddatur,KOTRA_SNS_2025,전자/반도체
847160,MY,.,,,,Importer,Seremban,KOTRA_SNS_2025,전자/반도체
847160,IN,Makeup and jewellery,,,,Importer,Amravati,KOTRA_SNS_2025,전자/반도체
853630,BD,Unique electric,,,,Importer,Dhaka,KOTRA_SNS_2025,전자/반도체
847160,LK,Kingfisher Airlines Employees,,,,Importer,puttalam,KOTRA_SNS_2025,전자/반도체
854140,BD,Green Bangladesh,,,,Importer,Dhaka,KOTRA_SNS_2025,전자/반도체
853690,BD,inara plastics,,,,Importer,mymensingh,KOTRA_SNS_2025,전자/반도체
851770,US,New Princeton Inc,,,,Importer,Dallas,KOTRA_SNS_2025,전자/반도체
851762,US,Shift one,,,,Importer,New York,KOTRA_SNS_2025,전자/반도체
854140,TZ,ICT,,,,Importer,Dar es s,KOTRA_SNS_2025,전자/반도체
851770,US,Consumer Goods,,,,Importer,Gulfport,KOTRA_SNS_2025,전자/반도체
847160,NG,Tredyl Schools,,,,Importer,Kaduna,KOTRA_SNS_2025,전자/반도체
847160,US,Ologe industries inc,,,,Importer,Bronx,KOTRA_SNS_2025,전자/반도체
854442,NG,CT SCL,,,,Importer,Abuja,KOTRA_SNS_2025,전자/반도체
851762,NG,Federal Inland Revenue Service,,,,Importer,Kaduna,KOTRA_SNS_2025,전자/반도체
854140,PT,"Leiripainel , Lda",,,,Importer,Leiria,KOTRA_SNS_2025,전자/반도체
851712,GH,Self Employed,,,,Importer,Sunyani,KOTRA_SNS_2025,전자/반도체
852580,DO,RG COMUNICACIONES Y SERVICIOS S.R.L.,,,,Importer,Santo Domingo,KOTRA_SNS_2025,전자/반도체
853690,PH,Maharican Innovations and Technology Applications Corp,,,,Importer,Philippines,KOTRA_SNS_2025,전자/반도체
847170,NO,vso,,,,Importer,Oslo,KOTRA_SNS_2025,전자/반도체
8517,IN,Greencon1,,,,Importer,Hyderabad india,KOTRA_SNS_2025,전자/반도체
851770,DZ,SCAA,,,,Importer,Algiers,KOTRA_SNS_2025,전자/반도체
847130,FR,Lebonbroker,,,,Importer,"Esmans, France",KOTRA_SNS_2025,전자/반도체
853690,LK,Dewy Management Consortium,,,,Importer,sri lanka,KOTRA_SNS_2025,전자/반도체
854140,NG,RedDove Nigeria Ltd,,,,Importer,Lagos Nigeria,KOTRA_SNS_2025,전자/반도체
851770,NG,BLESSED ADEWALE OLADIPO TECHNOLOGY BAOTEC INTEGRATED SERVICES,,,,Importer,LAGOS NIGERIA,KOTRA_SNS_2025,전자/반도체
854140,IN,Tatvamasi automation pvt ltd,,,,Importer,"Surat, india",KOTRA_SNS_2025,전자/반도체
851762,EG,1200444130,,,,Importer,(),KOTRA_SNS_2025,전자/반도체
851762,EG,Green sight,,,,Importer,6 October City,KOTRA_SNS_2025,전자/반도체
851762,MA,Achieve,,,,Importer,Marrakech,KOTRA_SNS_2025,전자/반도체
852869,TH,616903570,,,,Importer,Phuket,KOTRA_SNS_2025,전자/반도체
852869,TH,bb.@gmail.com,,,,Importer,Chiang Rai,KOTRA_SNS_2025,전자/반도체
851762,PH,"Edi sa puso mo :"">",,,,Importer,jhg,KOTRA_SNS_2025,전자/반도체
851762,PH,Templora Dermatologica,,,,Importer,Malabon City,KOTRA_SNS_2025,전자/반도체
850760,PH,Customs Pro Corporation,,,,Importer,cavite,KOTRA_SNS_2025,전자/반도체
850760,PH,,,,,Importer,Taguig,KOTRA_SNS_2025,전자/반도체
850760,MM,Dr.K Aesthetic & Age Management Clinic,,,,Importer,Mandalay,KOTRA_SNS_2025,전자/반도체
850760,PH,Phinay.store,,,,Importer,Quezon City,KOTRA_SNS_2025,전자/반도체
