company_name,rating,review_count,note,platform,country,type,size,contact_url,grade
PINEAPPLE Beauty,5.0 (768),768,뷰티 도매 (대형),Faire.com,US,K뷰티_미국도매,대형,https://www.faire.com/search?q=PINEAPPLE+Beauty,B
Best Beauty Group,4.9 (453),453,한국 화장품 도매 (Medicube 등),Faire.com,US,K뷰티_미국도매,대형,https://www.faire.com/search?q=Best+Beauty+Group,B
Kosmic - Kbeauty Skincare,4.5 (97),97,K뷰티 전문 도매,Faire.com,US,K뷰티_미국도매,중형,https://www.faire.com/search?q=Kosmic+-+Kbeauty+Skincare,B
Daspar,4.7 (86),86,SKIN1004 유통,Faire.com,US,K뷰티_미국도매,중형,https://www.faire.com/search?q=Daspar,B
Glowiss,5.0 (85),85,K뷰티 스킨케어,Faire.com,US,K뷰티_미국도매,중형,https://www.faire.com/search?q=Glowiss,B
Beautique Goals,4.4 (76),76,K뷰티 샘플/도매,Faire.com,US,K뷰티_미국도매,중형,https://www.faire.com/search?q=Beautique+Goals,B
Sol Beauty Lab,5.0 (20),20,K뷰티 뷰티랩,Faire.com,US,K뷰티_미국도매,중형,https://www.faire.com/search?q=Sol+Beauty+Lab,C
LADAMER OSHINCHAE MEDI-PEEL,5.0 (15),15,MDP+ 브랜드,Faire.com,US,K뷰티_미국도매,소형,https://www.faire.com/search?q=LADAMER+OSHINCHAE+MEDI-PEEL,C
Coastside Skin,4.8 (14),14,Medicube 유통,Faire.com,US,K뷰티_미국도매,소형,https://www.faire.com/search?q=Coastside+Skin,C
K Motives Beauty,3.5 (6),6,Beauty of Joseon 유통,Faire.com,US,K뷰티_미국도매,소형,https://www.faire.com/search?q=K+Motives+Beauty,C
K-Beauty Direct,,0,K뷰티 직접 유통,Faire.com,US,K뷰티_미국도매,소형,https://www.faire.com/search?q=K-Beauty+Direct,C
Senti Senti,,0,Skin1004 유통,Faire.com,US,K뷰티_미국도매,소형,https://www.faire.com/search?q=Senti+Senti,C
