company_name,type,total_shipments,last_shipment,address,search_query,country,data_source,hs_category
Soko Glam,Company,2684,2025-12-02,"1261 Broadway, Rm 1001, New York, Ny 10001, Us",soko glam,US,ImportYeti,3304_화장품
Cosmetics,Supplier,2536,2026-03-02,Suite 104A Saffrey Square Post Office Box N-624 Nassau The Bahamas,korean cosmetics importer,US,ImportYeti,3304_화장품
Art Cosmetics,Supplier,2448,2026-03-10,Via Delle Industrie 8A Fornovo San Giovanni Bergamo 22040 Italy,korean cosmetics importer,US,ImportYeti,3304_화장품
Shenzhen Beauty Star,Supplier,2283,2026-03-10,Longgang Road Pingdi Section Pingxi Community Pingdi Street Longgang District Sh,k beauty subscription,US,ImportYeti,3304_화장품
Gotha Cosmetics,Supplier,1974,2026-03-10,Con Socio Unico Via Della Madonna 6 24040 Lallio Bg Mark 035/693937,korean cosmetics importer,US,ImportYeti,3304_화장품
B Kolormakeup & Skincare,Supplier,1789,2026-03-11,Sb Benefit Corporation Via Canonica 79 A Loc Geromina 24047 Treviglio Bg Italy V,korean skincare distributor,US,ImportYeti,3304_화장품
Ningbo Merryart Glow Tech,Supplier,1606,2026-03-11,Damco China Ltd Ningbo Branch O/B Ningbo Merryart Glow Tech Co Ltd Lixin Rd Xiao,glow recipe,US,ImportYeti,3304_화장품
Korean Air Lines,Supplier,1114,2026-03-01,Material Supply Planning Team 260 Haneul-Gil Gangseo-Gu Seoul Korea Seoul Kr,korean cosmetics importer,US,ImportYeti,3304_화장품
Beauty & Business,Supplier,966,2026-03-11,Sede Legale E Fatturazione Via C Cant 1 Xxxxvedi Alfa Parf Group Spaxxxxx 20123 ,k beauty subscription,US,ImportYeti,3304_화장품
Jsiu Beauty,Supplier,896,2026-03-11,F Building Xintiandi 12Xintiandi 5 North Shiji Avenue Ningbo China Cnn Bo Cn,k beauty subscription,US,ImportYeti,3304_화장품
Roberts Beauty,Supplier,722,2026-03-07,902-2105 Weve The State 140 Sinh Eung-Ro Wonmi-Ku Bucheon-City Gyeonggi-Do Gyeon,k beauty subscription,US,ImportYeti,3304_화장품
Green Beauty,Supplier,708,2026-03-06,Horquetas De Sarapiqui De La Escuela De Ticari 1Km Oeste Sarapiqui Costa Rica,k beauty subscription,US,ImportYeti,3304_화장품
Korean Sahm Yook Foods,Supplier,511,2026-02-11,320 Panjung Jiksan Seobuk Chunan-Sichoongnam Koreatel 41-580-0881,korean cosmetics importer,US,ImportYeti,3304_화장품
Seoul Printing,Supplier,505,2026-03-07,5510-1301 The Hill 55 220 Wiryesunhwan-Ro Sujeong-Gu Seongnam-Si Gyeonggi-Do Kor,seoul cosmetics,US,ImportYeti,3304_화장품
Seoul Metal,Supplier,363,2026-02-12,#116-434 Oryu-Dong Ser-Ku Incheon South Korea Korea Republic Of,seoul cosmetics,US,ImportYeti,3304_화장품
Bryant Park Studios Peach & Lily,Company,262,2024-04-21,"New York, Ny 10018, Us",peach lily,US,ImportYeti,3304_화장품
Korean Seafoods,Supplier,249,2025-10-20,136 Daecheong-Ro Jung-Gu Busan South Korea,korean cosmetics importer,US,ImportYeti,3304_화장품
