국가명,담당무역관,바이어유형,바이어수,country_iso
EU,뉴욕무역관,일반,4,EU
EU,런던무역관,일반,1,EU
EU,로스앤젤레스무역관,일반,1,EU
EU,마드리드무역관,일반,1,EU
EU,밀라노무역관,일반,22,EU
EU,베이징무역관,일반,2,EU
EU,부쿠레슈티무역관,일반,1,EU
EU,브라티슬라바무역관,일반,1,EU
EU,싱가포르무역관,일반,19,EU
EU,파리무역관,일반,5,EU
EU,프랑크푸르트무역관,글로벌,1,EU
EU,프랑크푸르트무역관,일반,2,EU
EU,함부르크무역관,일반,7,EU
가나,과테말라무역관,일반,1,GH
가나,광저우무역관,일반,1,GH
가나,나이로비무역관,일반,2,GH
가나,뉴욕무역관,일반,2,GH
가나,두바이무역관,일반,14,GH
가나,런던무역관,일반,1,GH
가나,로스앤젤레스무역관,일반,1,GH
가나,뭄바이무역관,일반,1,GH
가나,뮌헨무역관,일반,1,GH
가나,싱가포르무역관,일반,3,GH
가나,아비장무역관,일반,1,GH
가나,아크라무역관,글로벌,4,GH
가나,아크라무역관,유력,16,GH
가나,아크라무역관,일반,669,GH
가나,요하네스버그무역관,일반,2,GH
가나,함부르크무역관,일반,1,GH
가봉,라고스무역관,일반,3,
가봉,마푸투무역관,일반,1,
가봉,킨샤사무역관,일반,12,
가봉,파리무역관,일반,1,
가이아나,달라스무역관,일반,1,
가이아나,상하이무역관,일반,1,
가이아나,카라카스무역관,일반,13,
가이아나,파나마무역관,일반,3,
감비아,아비장무역관,일반,7,
건지섬,다카무역관,일반,1,
건지섬,런던무역관,일반,1,
과들루프,소피아무역관,일반,1,
과들루프,파나마무역관,일반,10,
과들루프,파리무역관,일반,1,
과테말라,과테말라무역관,글로벌,2,
과테말라,과테말라무역관,유력,7,
과테말라,과테말라무역관,일반,1382,
과테말라,뉴욕무역관,일반,17,
과테말라,로스앤젤레스무역관,일반,2,
과테말라,멕시코시티무역관,일반,4,
과테말라,밀라노무역관,일반,2,
과테말라,상파울루무역관,일반,1,
과테말라,시카고무역관,일반,4,
과테말라,파나마무역관,일반,3,
괌,달라스무역관,일반,1,
괌,로스앤젤레스무역관,일반,4,
군소 외곽제도,멕시코시티무역관,일반,1,
군소 외곽제도,파리무역관,일반,2,
그레나다,상하이무역관,일반,1,
그레나다,카라카스무역관,일반,1,
그리스,광저우무역관,일반,2,
그리스,뉴욕무역관,일반,4,
그리스,다롄무역관,글로벌,1,
그리스,다롄무역관,일반,1,
그리스,두바이무역관,일반,8,
그리스,런던무역관,일반,4,
그리스,마닐라무역관,일반,1,
그리스,마드리드무역관,일반,1,
그리스,뮌헨무역관,일반,3,
그리스,밀라노무역관,일반,76,
그리스,상하이무역관,일반,16,
그리스,실리콘밸리무역관,일반,2,
그리스,싱가포르무역관,일반,10,
그리스,아테네무역관,글로벌,1,
그리스,아테네무역관,유력,3,
그리스,아테네무역관,일반,1665,
그리스,암스테르담무역관,일반,2,
그리스,워싱톤무역관,일반,2,
