hs_code,country_name,country_iso,export_scale,recommendation_score,updated_at,source
330499,가나,,내수,1.28,2025-06-26 16:08:53,KOTRA
330499,몽골,,유망,12.04,2025-06-26 16:08:53,KOTRA
330499,미국,US,유망,25.65,2025-06-26 16:08:53,KOTRA
330499,미국령사모아,,유망,4.4,2025-06-26 16:08:53,KOTRA
330499,미얀마,,유망,7.37,2025-06-26 16:08:53,KOTRA
330499,바누아투,,유망,5.43,2025-06-26 16:08:53,KOTRA
330499,바레인,,유망,5.58,2025-06-26 16:08:53,KOTRA
330499,바베이도스,,유망,3.25,2025-06-26 16:08:53,KOTRA
330499,바하마,,유망,3.12,2025-06-26 16:08:53,KOTRA
330499,방글라데시,,유망,5.4,2025-06-26 16:08:53,KOTRA
330499,베냉,,유망,2.85,2025-06-26 16:08:53,KOTRA
330499,베네수엘라,,유망,4.26,2025-06-26 16:08:53,KOTRA
330499,베트남,VN,유망,19.13,2025-06-26 16:08:53,KOTRA
330499,벨기에,,유망,5.74,2025-06-26 16:08:53,KOTRA
330499,벨라루스,,유망,4.77,2025-06-26 16:08:53,KOTRA
330499,보스니아 헤르체고비나,,유망,4.55,2025-06-26 16:08:53,KOTRA
330499,볼리비아,,유망,4.99,2025-06-26 16:08:53,KOTRA
330499,부르키나파소,,유망,3.11,2025-06-26 16:08:53,KOTRA
330499,부탄,,유망,5.05,2025-06-26 16:08:53,KOTRA
330499,북마리아나제도,,유망,4.07,2025-06-26 16:08:53,KOTRA
330499,불가리아,,유망,7.6,2025-06-26 16:08:53,KOTRA
330499,브라질,BR,유망,7.31,2025-06-26 16:08:53,KOTRA
330499,브루나이,,유망,5.39,2025-06-26 16:08:53,KOTRA
330499,사모아 (서사모아),,유망,3.25,2025-06-26 16:08:53,KOTRA
330499,사우디아라비아,SA,유망,7.79,2025-06-26 16:08:53,KOTRA
330499,세네갈,,유망,3.37,2025-06-26 16:08:53,KOTRA
330499,몰타,,유망,4.33,2025-06-26 16:08:53,KOTRA
330499,몰디브,,유망,5.1,2025-06-26 16:08:53,KOTRA
330499,몰다비아,,유망,6.12,2025-06-26 16:08:53,KOTRA
330499,라오스,,유망,3.59,2025-06-26 16:08:53,KOTRA
330499,라이베리아,,유망,2.85,2025-06-26 16:08:53,KOTRA
330499,라트비아,,유망,5.55,2025-06-26 16:08:53,KOTRA
330499,러시아연방,,유망,13.19,2025-06-26 16:08:53,KOTRA
330499,레바논,,유망,4.88,2025-06-26 16:08:53,KOTRA
330499,레유니온,,유망,5.51,2025-06-26 16:08:53,KOTRA
330499,루마니아,,유망,8.14,2025-06-26 16:08:53,KOTRA
330499,룩셈부르크,,유망,4.73,2025-06-26 16:08:53,KOTRA
330499,르완다,,유망,4.9,2025-06-26 16:08:53,KOTRA
330499,리비아,,유망,5.06,2025-06-26 16:08:53,KOTRA
330499,리투아니아,,유망,7.4,2025-06-26 16:08:53,KOTRA
330499,마다가스카르,,유망,5.2,2025-06-26 16:08:53,KOTRA
330499,마르티니끄,,유망,7.45,2025-06-26 16:08:53,KOTRA
330499,마샬 제도,,유망,3.34,2025-06-26 16:08:53,KOTRA
330499,마카오,,유망,4.5,2025-06-26 16:08:53,KOTRA
330499,마케도니아,,유망,5.89,2025-06-26 16:08:53,KOTRA
330499,마크로네시아,,유망,3.44,2025-06-26 16:08:53,KOTRA
330499,말라위,,유망,4.1,2025-06-26 16:08:53,KOTRA
330499,말레이시아,MY,유망,14.47,2025-06-26 16:08:53,KOTRA
330499,멕시코,MX,유망,8.1,2025-06-26 16:08:53,KOTRA
330499,모로코,,유망,4.89,2025-06-26 16:08:53,KOTRA
330499,모리셔스,,유망,6.69,2025-06-26 16:08:53,KOTRA
330499,모리타니아,,유망,3.94,2025-06-26 16:08:53,KOTRA
330499,모잠비크,,유망,2.67,2025-06-26 16:08:53,KOTRA
330499,몬테네그로,,유망,5.47,2025-06-26 16:08:53,KOTRA
330499,세르비아,,유망,5.06,2025-06-26 16:08:53,KOTRA
330499,세이셸,,유망,5.46,2025-06-26 16:08:53,KOTRA
330499,영국,GB,유망,10.31,2025-06-26 16:08:53,KOTRA
330499,예멘,,유망,5.27,2025-06-26 16:08:53,KOTRA
330499,오만,OM,유망,6.38,2025-06-26 16:08:53,KOTRA
330499,오스트리아,,유망,4.72,2025-06-26 16:08:53,KOTRA
330499,온두라스,,유망,3.13,2025-06-26 16:08:53,KOTRA
330499,요르단,,유망,4.88,2025-06-26 16:08:53,KOTRA
330499,우간다,,유망,4.73,2025-06-26 16:08:53,KOTRA
330499,우루과이,,유망,4.87,2025-06-26 16:08:53,KOTRA
330499,우즈베키스탄,UZ,유망,7.89,2025-06-26 16:08:53,KOTRA
330499,우크라이나,,유망,10.07,2025-06-26 16:08:53,KOTRA
330499,이라크,IQ,유망,7.87,2025-06-26 16:08:53,KOTRA
330499,이란,,유망,3.04,2025-06-26 16:08:53,KOTRA
330499,이스라엘,,유망,5.97,2025-06-26 16:08:53,KOTRA
330499,이집트,EG,유망,4.09,2025-06-26 16:08:53,KOTRA
330499,이탈리아,IT,유망,7.98,2025-06-26 16:08:53,KOTRA
330499,인도,IN,유망,7.79,2025-06-26 16:08:53,KOTRA
330499,인도네시아,ID,유망,10.56,2025-06-26 16:08:53,KOTRA
330499,일본,JP,유망,18.78,2025-06-26 16:08:53,KOTRA
330499,자메이카,,유망,3.79,2025-06-26 16:08:53,KOTRA
330499,잠비아,,유망,4.48,2025-06-26 16:08:53,KOTRA
330499,조지아,,유망,5.47,2025-06-26 16:08:53,KOTRA
330499,중국,CN,유망,18.87,2025-06-26 16:08:53,KOTRA
330499,중앙아프리카공화국,,유망,1.94,2025-06-26 16:08:53,KOTRA
330499,지부티,,유망,2.88,2025-06-26 16:08:53,KOTRA
330499,지브롤터,,유망,3.48,2025-06-26 16:08:53,KOTRA
330499,엘살바도르,,유망,5.81,2025-06-26 16:08:53,KOTRA
330499,에티오피아,,유망,3.55,2025-06-26 16:08:53,KOTRA
330499,에콰도르,,유망,6.59,2025-06-26 16:08:53,KOTRA
330499,소말리아,,유망,4.28,2025-06-26 16:08:53,KOTRA
330499,수단,,유망,1.04,2025-06-26 16:08:53,KOTRA
330499,수리남,,유망,3.78,2025-06-26 16:08:53,KOTRA
330499,스리랑카,,유망,6.67,2025-06-26 16:08:53,KOTRA
330499,스와질란드,,유망,2.91,2025-06-26 16:08:53,KOTRA
330499,스웨덴,,유망,7.53,2025-06-26 16:08:53,KOTRA
330499,스위스,,유망,9.07,2025-06-26 16:08:53,KOTRA
330499,스페인,ES,유망,7.87,2025-06-26 16:08:53,KOTRA
330499,슬로바키아,,유망,6.51,2025-06-26 16:08:53,KOTRA
330499,슬로베니아,,유망,4.5,2025-06-26 16:08:53,KOTRA
330499,시리아,,유망,2.29,2025-06-26 16:08:53,KOTRA
330499,시에라리온,,유망,3.11,2025-06-26 16:08:53,KOTRA
330499,싱가포르,SG,유망,14.94,2025-06-26 16:08:53,KOTRA
330499,아랍에미리트,AE,유망,13.83,2025-06-26 16:08:53,KOTRA
330499,아루바,,유망,2.73,2025-06-26 16:08:53,KOTRA
330499,아르메니아,,유망,4.68,2025-06-26 16:08:53,KOTRA
870830,가나,,내수,0.76,2025-06-26 16:08:53,KOTRA
870830,바레인,,유망,3.07,2025-06-26 16:08:53,KOTRA
870830,바하마,,유망,1.8,2025-06-26 16:08:53,KOTRA
870830,방글라데시,,유망,2.76,2025-06-26 16:08:53,KOTRA
870830,베네수엘라,,유망,2.46,2025-06-26 16:08:53,KOTRA
870830,베트남,VN,유망,5.58,2025-06-26 16:08:53,KOTRA
870830,벨기에,,유망,3.17,2025-06-26 16:08:53,KOTRA
870830,벨라루스,,유망,2.5,2025-06-26 16:08:53,KOTRA
