hs_code,country_name,country_iso,export_scale,recommendation_score,source
330499,가나,,내수,1.28,KOTRA
330499,몽골,MN,유망,12.04,KOTRA
330499,미국,US,유망,25.65,KOTRA
330499,미국령사모아,,유망,4.4,KOTRA
330499,미얀마,MM,유망,7.37,KOTRA
330499,바누아투,,유망,5.43,KOTRA
330499,바레인,,유망,5.58,KOTRA
330499,바베이도스,,유망,3.25,KOTRA
330499,바하마,,유망,3.12,KOTRA
330499,방글라데시,BD,유망,5.4,KOTRA
330499,베냉,,유망,2.85,KOTRA
330499,베네수엘라,,유망,4.26,KOTRA
330499,베트남,VN,유망,19.13,KOTRA
330499,벨기에,,유망,5.74,KOTRA
330499,벨라루스,,유망,4.77,KOTRA
330499,보스니아 헤르체고비나,,유망,4.55,KOTRA
330499,볼리비아,,유망,4.99,KOTRA
330499,부르키나파소,,유망,3.11,KOTRA
330499,부탄,,유망,5.05,KOTRA
330499,북마리아나제도,,유망,4.07,KOTRA
330499,불가리아,,유망,7.6,KOTRA
330499,브라질,BR,유망,7.31,KOTRA
330499,브루나이,,유망,5.39,KOTRA
330499,사모아 (서사모아),,유망,3.25,KOTRA
330499,사우디아라비아,SA,유망,7.79,KOTRA
330499,세네갈,,유망,3.37,KOTRA
330499,몰타,,유망,4.33,KOTRA
330499,몰디브,,유망,5.1,KOTRA
330499,몰다비아,,유망,6.12,KOTRA
330499,라오스,LA,유망,3.59,KOTRA
330499,라이베리아,,유망,2.85,KOTRA
330499,라트비아,,유망,5.55,KOTRA
330499,러시아연방,,유망,13.19,KOTRA
330499,레바논,,유망,4.88,KOTRA
330499,레유니온,,유망,5.51,KOTRA
330499,루마니아,,유망,8.14,KOTRA
330499,룩셈부르크,,유망,4.73,KOTRA
330499,르완다,,유망,4.9,KOTRA
330499,리비아,,유망,5.06,KOTRA
330499,리투아니아,,유망,7.4,KOTRA
330499,마다가스카르,,유망,5.2,KOTRA
330499,마르티니끄,,유망,7.45,KOTRA
330499,마샬 제도,,유망,3.34,KOTRA
330499,마카오,,유망,4.5,KOTRA
330499,마케도니아,,유망,5.89,KOTRA
330499,마크로네시아,,유망,3.44,KOTRA
330499,말라위,,유망,4.1,KOTRA
330499,말레이시아,MY,유망,14.47,KOTRA
330499,멕시코,MX,유망,8.1,KOTRA
330499,모로코,,유망,4.89,KOTRA
330499,모리셔스,,유망,6.69,KOTRA
330499,모리타니아,,유망,3.94,KOTRA
330499,모잠비크,,유망,2.67,KOTRA
330499,몬테네그로,,유망,5.47,KOTRA
330499,세르비아,,유망,5.06,KOTRA
330499,세이셸,,유망,5.46,KOTRA
330499,영국,GB,유망,10.31,KOTRA
330499,예멘,,유망,5.27,KOTRA
330499,오만,OM,유망,6.38,KOTRA
330499,오스트리아,,유망,4.72,KOTRA
330499,온두라스,,유망,3.13,KOTRA
330499,요르단,,유망,4.88,KOTRA
330499,우간다,,유망,4.73,KOTRA
330499,우루과이,,유망,4.87,KOTRA
330499,우즈베키스탄,UZ,유망,7.89,KOTRA
330499,우크라이나,,유망,10.07,KOTRA
330499,이라크,IQ,유망,7.87,KOTRA
330499,이란,,유망,3.04,KOTRA
330499,이스라엘,,유망,5.97,KOTRA
330499,이집트,EG,유망,4.09,KOTRA
330499,이탈리아,IT,유망,7.98,KOTRA
330499,인도,IN,유망,7.79,KOTRA
330499,인도네시아,ID,유망,10.56,KOTRA
330499,일본,JP,유망,18.78,KOTRA
330499,자메이카,,유망,3.79,KOTRA
330499,잠비아,,유망,4.48,KOTRA
330499,조지아,,유망,5.47,KOTRA
330499,중국,CN,유망,18.87,KOTRA
330499,중앙아프리카공화국,,유망,1.94,KOTRA
330499,지부티,,유망,2.88,KOTRA
