buyNo,buyName,nationName,phone,regDateStr,detailLink,country_iso
4101,PS Cloud Services ,카자흐스탄,(+7) (727) 388 80 00,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4101,KZ
4100,JSC Kazteleport,카자흐스탄,(+7) 727 364 5151,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4100,KZ
4099,CTC ASTANA LTD,카자흐스탄,(+7) 701 717 5555,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4099,KZ
4098,SMARTNET TOO,카자흐스탄,(+7) (727) 356 01 11,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4098,KZ
4097,NLS Kazakhstan LLC,카자흐스탄,(+7) (7172) 725 5555,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4097,KZ
4096,Vista Technology LLP,카자흐스탄,(+7) (727) 345 60 00,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4096,KZ
4095,Jusan Mobile JSC,카자흐스탄,(+7) (727) 2 377-777,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4095,KZ
4094,JSC Kazakhtelecom,카자흐스탄,(+7)160,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4094,KZ
4093,JSC Transtelecom,카자흐스탄,(+7)191,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4093,KZ
4092, TNS-Plus ,카자흐스탄,(+7) 777 779 61 60,2025.12.04,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4092,KZ
4091,Intellect,싱가포르,-,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4091,SG
4090,Biorithm,싱가포르,-,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4090,SG
4089,Amplify Health,싱가포르,(+65) 8869 0211,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4089,SG
4088,Speedoc,싱가포르,(+65) 6909 7799,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4088,SG
4087,MindFi,싱가포르,-,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4087,SG
4086,Omni-Health,싱가포르,-,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4086,SG
4085,Aevice Health,싱가포르,-,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4085,SG
4084,Mesh Bio,싱가포르,-,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4084,SG
4083,Holmusk,싱가포르,-,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4083,SG
4082,Doctor Anywhere,싱가포르,(+65) 3158 4622,2025.11.21,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4082,SG
4081,Mandal Risk,몽골,(+976) 77745577,2025.10.31,https://www.globalict.kr//business/buyer/buyer_view.do?menuCode=030500&buyNo=4081,MN
