country_ko,country,product_ko,inquiry_date,source,hs_prefix
스페인,ES,스포츠 테이프(Sports tape),2024-01-02,SMBA_INQUIRY_2024,9506
남아프리카공화국,ZA,AC 모터(AC motor),2024-01-02,SMBA_INQUIRY_2024,8501
이탈리아,IT,AC 모터(AC motor),2024-01-02,SMBA_INQUIRY_2024,8501
호주,AU,스포츠 테이프(Sports tape),2024-01-02,SMBA_INQUIRY_2024,9506
미국,US,스위치(Switch),2024-01-02,SMBA_INQUIRY_2024,
중국,CN,보톡스,2024-01-02,SMBA_INQUIRY_2024,
싱가포르,SG,소프트 드링크 및 간식제품,2024-01-02,SMBA_INQUIRY_2024,
미국,US,스킨케어,2024-01-02,SMBA_INQUIRY_2024,3304
중국,CN,정전기 제거기,2024-01-02,SMBA_INQUIRY_2024,
멕시코,MX,자동차 부품,2024-01-02,SMBA_INQUIRY_2024,8703
폴란드,PL,자동차 부품,2024-01-02,SMBA_INQUIRY_2024,8703
중국 ,,자동차 부품,2024-01-02,SMBA_INQUIRY_2024,8703
멕시코,MX,접착시트,2024-01-02,SMBA_INQUIRY_2024,
미국,US,인큐베이터,2024-01-02,SMBA_INQUIRY_2024,
사우디아라비아,SA,인큐베이터,2024-01-02,SMBA_INQUIRY_2024,
필리핀,PH,인큐베이터,2024-01-02,SMBA_INQUIRY_2024,
사우디아라비아,SA,접착시트,2024-01-02,SMBA_INQUIRY_2024,
중국 ,,"ARTICLES OF PLASTIC, Borads",2024-01-02,SMBA_INQUIRY_2024,
베트남 ,,산업테이프,2024-01-02,SMBA_INQUIRY_2024,
일본,JP,감말랭이,2024-01-02,SMBA_INQUIRY_2024,
일본,JP,스킨케어 앰플,2024-01-02,SMBA_INQUIRY_2024,3304
영국,GB,조미김,2024-01-02,SMBA_INQUIRY_2024,
인도네시아,ID,조미김,2024-01-02,SMBA_INQUIRY_2024,
캐나다,CA,모종 화분,2024-01-02,SMBA_INQUIRY_2024,
미국,US,스킨케어 디바이스 및 화장품,2024-01-02,SMBA_INQUIRY_2024,3304
중국,CN,"디스플레이, 필름 테잎",2024-01-02,SMBA_INQUIRY_2024,8528
브라질,BR,고속도로 속도 측정 장비,2024-01-02,SMBA_INQUIRY_2024,8479
러시아,RU,스킨케어 화장품(Skincare cosmetics),2024-01-02,SMBA_INQUIRY_2024,3304
브라질,BR,메이크업 화장품,2024-01-02,SMBA_INQUIRY_2024,3304
일본,JP,골절 용품(Fracture appliances),2024-01-02,SMBA_INQUIRY_2024,
인도네시아,ID,스킨케어 화장품,2024-01-02,SMBA_INQUIRY_2024,3304
태국,TH,떡볶이,2024-01-02,SMBA_INQUIRY_2024,
인도,IN,잉크,2024-01-02,SMBA_INQUIRY_2024,
미국,US,"안경닦이(초극세사클리너),타월",2024-01-02,SMBA_INQUIRY_2024,
베트남,VN,쌀음료,2024-01-02,SMBA_INQUIRY_2024,2202
뉴질랜드,NZ,농업용호스,2024-01-02,SMBA_INQUIRY_2024,
베트남,VN,탈모앰플,2024-01-02,SMBA_INQUIRY_2024,3304
나이지리아,NG,스킨토너,2024-01-02,SMBA_INQUIRY_2024,3304
미국,US,밀폐용기,2024-01-02,SMBA_INQUIRY_2024,1001
싱가포르,SG,Help Me 토너패드 시리즈,2024-01-02,SMBA_INQUIRY_2024,3304
터키,TR,마스크팩,2024-01-02,SMBA_INQUIRY_2024,3304
베트남,VN,스킨케어 화장품,2024-01-02,SMBA_INQUIRY_2024,3304
미국,US,도어락,2024-01-02,SMBA_INQUIRY_2024,
호주,AU,닭가슴살,2024-01-02,SMBA_INQUIRY_2024,
인도네시아,ID,조미김,2024-01-02,SMBA_INQUIRY_2024,
영국,GB,조미김,2024-01-02,SMBA_INQUIRY_2024,
캐나다,CA,모종 화분,2024-01-02,SMBA_INQUIRY_2024,
미국,US,팔레타이징 시스템 / 믹싱 시스템 / 트윈 익스트로더,2024-01-02,SMBA_INQUIRY_2024,
일본,JP,스킨케어 앰플,2024-01-02,SMBA_INQUIRY_2024,3304
미국,US,스포츠 테이프(Sports tape),2024-01-03,SMBA_INQUIRY_2024,9506
일본,JP,골절 용품(Fracture appliances),2024-01-03,SMBA_INQUIRY_2024,
미국,US,스킨케어 화장품,2024-01-03,SMBA_INQUIRY_2024,3304
베트남,VN,스낵 및 음료 제품,2024-01-03,SMBA_INQUIRY_2024,1905
인도네시아,ID,소프트 드링크 및 제과,2024-01-03,SMBA_INQUIRY_2024,
대만,TW,스킨케어 클린징 패드,2024-01-03,SMBA_INQUIRY_2024,3304
미국,US,콜라겐 건강식품,2024-01-03,SMBA_INQUIRY_2024,2106
중국,CN,잠금장치,2024-01-03,SMBA_INQUIRY_2024,
미국,US,메카니컬씰(누출방지),2024-01-03,SMBA_INQUIRY_2024,
아랍에미리트,AE,보조 밸브,2024-01-03,SMBA_INQUIRY_2024,8481
대한민국,,기타 미용 및 개인 용품 ,2024-01-03,SMBA_INQUIRY_2024,
아랍에미리트,AE,라면조리기 ,2024-01-03,SMBA_INQUIRY_2024,1902
중국,CN,풍향계 ,2024-01-03,SMBA_INQUIRY_2024,
알바니아,,아크릴원판 ,2024-01-03,SMBA_INQUIRY_2024,
요르단,JO,항생제,2024-01-03,SMBA_INQUIRY_2024,
아랍에미리트,AE,시트지,2024-01-03,SMBA_INQUIRY_2024,
리비아,,내화금고,2024-01-03,SMBA_INQUIRY_2024,
아랍에미리트,AE,내화금고,2024-01-03,SMBA_INQUIRY_2024,
미국,US,스킨케어 세럼,2024-01-03,SMBA_INQUIRY_2024,3304
방글라데시,BD,자기접촉기,2024-01-03,SMBA_INQUIRY_2024,
일본,JP,마스크팩 시트,2024-01-03,SMBA_INQUIRY_2024,3304
멕시코,MX,자동차 부품,2024-01-03,SMBA_INQUIRY_2024,8703
폴란드,PL,자동차 부품,2024-01-03,SMBA_INQUIRY_2024,8703
중국 ,,자동차 부품,2024-01-03,SMBA_INQUIRY_2024,8703
필리핀,PH,인큐베이터,2024-01-03,SMBA_INQUIRY_2024,
베트남 ,,산업테이프,2024-01-03,SMBA_INQUIRY_2024,
미국,US,안경테,2024-01-03,SMBA_INQUIRY_2024,
일본,JP,스킨케어 앰플 ,2024-01-03,SMBA_INQUIRY_2024,3304
영국,GB,조미김 ,2024-01-03,SMBA_INQUIRY_2024,
인도네시아,ID,조미김 ,2024-01-03,SMBA_INQUIRY_2024,
미국,US,스킨케어 디바이스 및 화장품,2024-01-03,SMBA_INQUIRY_2024,3304
미국,US,약 자동 포장 기계,2024-01-03,SMBA_INQUIRY_2024,8479
러시아,RU,스킨케어 화장품(Skincare cosmetics),2024-01-03,SMBA_INQUIRY_2024,3304
