번호,제목,카테고리,국가명,제공기관명,신청시작일,신청종료일,country_iso
1,싱가포르 바이어가 브랜드 화장품 공급업체를 찾고 계십니다.,건강 및 미용 (Health & Beauty),싱가포르,중소벤처기업진흥공단,2024-01-18,2024-01-31,SG
2,싱가포르바이어가 &quot;OEM/ODM 세럼&quot; 제조공급업체를 찾고 계십니다.,건강 및 미용 (Health & Beauty),싱가포르,중소벤처기업진흥공단,2024-01-04,2024-01-18,SG
3,홍콩 바이어가 미국 판매용 다기능 라이스쿠커 및 인덕션쿠커 공급업체를 찾고 있습니다.,전자제품 (Electronics),홍콩,중소벤처기업진흥공단,2024-01-15,2024-01-22,HK
4,"싱가포르 바이어가 페이스 세럼, 페이스 크림 공급 업체를 찾고 있습니다.",건강 및 미용 (Health & Beauty),싱가포르,중소벤처기업진흥공단,2024-01-08,2024-01-15,SG
5,중국 바이어가  스테아르산아연액 및 스테아린산칼슘액(Zinc/Calcium Stearate in liquid) 공급업체를 찾고 있습니다.,"기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",중국,중소벤처기업진흥공단,2024-01-08,2024-01-19,CN
6,방글라데시 바이어가 에센셜 오일을 찾고 있습니다,"기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",방글라데시,중소벤처기업진흥공단,2024-01-09,2024-02-19,BD
7,네팔 바이어가 페이셜크림(facial cream) 제품을 찾고 있습니다,건강 및 미용 (Health & Beauty),네팔,중소벤처기업진흥공단,2024-01-09,2024-01-10,
8,"영국 바이어가 다운자켓, 아우터웨어를 제조할 수 있는 의류 제조사를 찾고 있습니다.","의류, 직물 및 액세서리 (Apparel, Textiles & Accessories)",영국,중소벤처기업진흥공단,2024-01-09,2024-01-31,GB
9,사우디아라비아 바이어가 filler 제조사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),사우디아라비아,중소벤처기업진흥공단,2024-01-09,2024-01-26,SA
10,베트남바이어가 &quot;멀티탭&quot; 제조공급업체를 찾고 계십니다.,"가정, 조명 및 장치 (Home, Lights & Construction)",베트남,중소벤처기업진흥공단,2024-01-09,2024-01-23,VN
11,중국 바이어가 에틸렌이민액(Ethylenimine in liquid form) 공급업체를 찾고 있습니다.,"기계, 화학, 고무 및 플라스틱 (Metallurgy, Chemicals, Rubber & Plastics)",중국,중소벤처기업진흥공단,2024-01-10,2024-01-23,CN
12,말레이시아 바이어가 여드름성 피부 및 민감성 피부 개선 제품 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),말레이시아,중소벤처기업진흥공단,2024-01-12,2024-01-18,MY
13,베네수엘라 바이어가 한국스낵제품등을 수출하는 업체를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),베네수엘라,중소벤처기업진흥공단,2024-01-15,2024-01-30,
14,"인도 바이어가 원사, 원단(Yarn, Textile) 등 원재료 공급자를 찾고 있습니다.","의류, 직물 및 액세서리 (Apparel, Textiles & Accessories)",인도,중소벤처기업진흥공단,2024-01-15,2024-01-31,IN
15,"칠레 식품 온라인몰을 운영하는 바이어가 쿠기, 초콜렛, 스낵, 파스타, 소스, 피클(Cookies, Chocolate, Snacks, Pasta and canned korean food) 등 한국 음식을 판매하는 업체를 찾고 있습니다.",농업 및 식품 (Agriculture & Food),칠레,중소벤처기업진흥공단,2024-01-15,2024-01-29,CL
16,"온라인몰을 운영하는 방글라데시 바이어가 리빙, 펫, 건강, 뷰티(Libing, Pet, Health, Beauty)관련된 제품을 찾고 있습니다.",건강 및 미용 (Health & Beauty),방글라데시,중소벤처기업진흥공단,2024-01-15,2024-01-25,BD
17,"미국 바이어가 중저가 스킨케어, 헤어케어 제조 업체를 찾고 있습니다.",건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-01-15,2024-01-17,US
18,"싱가포르 바이어가 비타민 음료, 건강 음료(Vitamin &amp; Healthy Beverage) 공급자를 찾고 있습니다.",농업 및 식품 (Agriculture & Food),싱가포르,중소벤처기업진흥공단,2024-01-15,2024-01-25,SG
19,이란 바이어가 &apos;자가혈소판풍부혈장치료술 키트(PRP(Platelet-Rich Plasma) kit)&apos; 공급업체를 찾고 있습니다.,건강 및 미용 (Health & Beauty),이란,중소벤처기업진흥공단,2024-01-15,2024-02-21,IR
20,미국 바이어가 &apos;에세틱샵용 프로페셔널 스킨케어 라인&apos; 제품을 찾고 있습니다.,건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-01-16,2024-02-14,US
21,영국 바이어가 &apos;아이크림세럼 30ml &apos; 제품을 찾고 있습니다.,건강 및 미용 (Health & Beauty),영국,중소벤처기업진흥공단,2024-01-17,2024-01-24,GB
22,"잠비아 바이어가 썬크림, 스킨케어 제품 등을 찾습니다.",건강 및 미용 (Health & Beauty),잠비아,중소벤처기업진흥공단,2024-01-18,2024-01-23,
23,이집트 바이어가 동결건조주사 (Lyophilized Injection) 제조사를 찾습니다.,건강 및 미용 (Health & Beauty),이집트,중소벤처기업진흥공단,2024-01-18,2024-01-29,EG
24,인도 바이어가 LED 슬링백 (LED Sling Bag) 공급업체를 찾고 있습니다.,"가방, 신발 및 액세서리 (Bags, Shoes & Accessories)",인도,중소벤처기업진흥공단,2024-01-19,2024-02-08,IN
25,"알바니아 바이어가 폴리스틸렌 (Polystyrene), 합성데크 크립을 찾고 있습니다","기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",알바니아,중소벤처기업진흥공단,2024-01-22,2024-02-16,
26,미국바이어가 피부관리기구/기기 (Skincare tool &amp; Device) 제조공급업체를 찾고 계십니다.,건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-01-19,2024-02-02,US
27,"싱가포르 바이어가 미용에 활용되는 리도카인 (Llidocaine) 국소마취제품(크림,젤,스프레이타입, anesthesia numbing cream/gel/spray)을 찾고 있습니다.",건강 및 미용 (Health & Beauty),싱가포르,중소벤처기업진흥공단,2024-01-19,2024-02-02,SG
28,캐나다 바이어가 스킨케어 클린징 워터(Cleansing) 제품을 찾고 있습니다.,건강 및 미용 (Health & Beauty),캐나다,중소벤처기업진흥공단,2024-01-19,2024-01-26,CA
29,"온라인 상점 운영하는 미국 바이어가 건설 기계, 장비 등을 찾고 있습니다. (중고품도 가능)","기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",미국,중소벤처기업진흥공단,2024-01-22,2024-02-09,US
30,말레이시아 바이어 전기차 배터리 생산 설비에 적용할 수 있는 시스템 (software) 또는 장비 (equipment) 문의,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",말레이시아,중소벤처기업진흥공단,2024-01-23,2024-02-16,MY
31,베트남 바이어가 산업용 밸브(Valve) 제조업체를 찾고 있습니다.,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",베트남,중소벤처기업진흥공단,2024-01-23,2024-02-16,VN
32,미얀마 바이어가 흉터 연고 (Scar Gel or Cream)를 찾고 있습니다.,건강 및 미용 (Health & Beauty),미얀마,중소벤처기업진흥공단,2024-01-25,2024-01-31,MM
33,"이란 바이어가 병원용 양압기(CPAP, BiPAP),  산소발생기 (Oxygen Concentrator)공급사를 찾고 있습니다.",건강 및 미용 (Health & Beauty),이란,중소벤처기업진흥공단,2024-01-25,2024-02-29,IR
34,이란  바이어가 얼굴과 바디용 필러 및 보톡스 (Filler and Botox) 공급사를 찾고 있습니다.,건강 및 미용 (Health & Beauty),이란,중소벤처기업진흥공단,2024-01-25,2024-02-29,IR
35,"미국 바이어가 페이셜 모이스쳐라이저/세럼(Moisturizer/Serum), 토너 패드(Toner Pads), 멀티밤 스틱(Multi Balm Stick) 제품을 찾고 있습니다.",건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-01-25,2024-02-08,US
36,알바니아 바이어가 라면 수출 업체를 찾습니다,농업 및 식품 (Agriculture & Food),알바니아,중소벤처기업진흥공단,2024-01-20,2024-02-16,
37,미국 바이어가 &apos;글라스네일 샤이너 (glass nail polisher)&apos;제품을 찾고 있습니다.,건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-01-26,2024-02-02,US
38,미국 바이어기 분자 하이드로겐 스킨케어제품 (Molecular Hydrogen Skincare Product) 제조공급사를 찾고 계십니다.,건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-01-26,2024-02-09,US
39,"미국바이어가 마이크로니들패치, 페이셜마스크팩 (Microneedling &amp; Facial Sheet Mask) 제조공급업체를 찾고 계십니다.",건강 및 미용 (Health & Beauty),미국,중소벤처기업진흥공단,2024-01-31,2024-02-14,US
40,아랍에미리트 바이어가 치과용 임플란트 (Implant) 제조 공급업체를 찾고 계십니다.,건강 및 미용 (Health & Beauty),아랍에미리트,중소벤처기업진흥공단,2024-02-02,2024-02-26,AE
41,"싱가포르 바이어가 유자 주스, 껍질(Yuzu juice, peels) 공급 업체를 찾고 있습니다.",농업 및 식품 (Agriculture & Food),싱가포르,중소벤처기업진흥공단,2024-01-29,2024-02-08,SG
42,"미얀마 바이어가 현지 병원에 납품가능한 혁신 체외진단 의료기기 제품(IVD, In vitro Diagnostic)을 찾고 있습니다.",건강 및 미용 (Health & Beauty),미얀마,중소벤처기업진흥공단,2024-01-29,2024-02-09,MM
43,인도의 용접기기 제조업체가 저항용접 디지털 컨트롤러(Digital Weld Controller) 납품업체를 찾고 있습니다.,"기계, 산업 부품 및 기구 (Machinery, Industrial Parts & Tools)",인도,중소벤처기업진흥공단,2024-01-29,2024-02-09,IN
44,베트남 바이어가 오가닉 건강기능식품(Organic Healthy Supplement) 제조사를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),베트남,중소벤처기업진흥공단,2024-02-02,2024-02-16,VN
45,"미국 바이어가 커브드 게임모니터, 헤어드라이기, 무선청소기  등의 가전기기 제품을 찾고 있습니다.",전자제품 (Electronics),미국,중소벤처기업진흥공단,2024-02-05,2024-02-12,US
46,체코 바이어가 즉석 라면 조리기기(Instant noodle cooker) 제조업체를 찾고 있습니다.,전자제품 (Electronics),체코공화국,중소벤처기업진흥공단,2024-02-06,2024-02-16,
47,베트남 바이어가 김 (조미안된 김가루) 공급업체를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),베트남,중소벤처기업진흥공단,2024-02-06,2024-02-23,VN
48,브라질 바이어가 색조 메이크업 제품을 찾고 있습니다.,건강 및 미용 (Health & Beauty),브라질,중소벤처기업진흥공단,2024-02-07,2024-02-14,BR
49,미국 바이어가 김(Seaweed) 공급업체를 찾고 있습니다.,농업 및 식품 (Agriculture & Food),미국,중소벤처기업진흥공단,2024-02-07,2024-02-28,US
50,독일 바이어가 가루형 세탁세제 (Washing Powder)를 찾고 있습니다.,"가정, 조명 및 장치 (Home, Lights & Construction)",독일,중소벤처기업진흥공단,2024-02-07,2024-03-08,DE
