DATABASE_ID,INDICATOR,REF_AREA,TIME_PERIOD,OBS_VALUE,FREQ,UNIT_MEASURE,UNIT_TYPE,UNIT_MULT,TIME_FORMAT,DECIMALS,OBS_STATUS,OBS_CONF,DATA_SOURCE,LATEST_DATA,COMMENT_OBS,COMMENT_TS,AGG_METHOD,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3
WB_WDI,SE.PRM.ENRR,FRA,2021,,A,Percent,Value,3,P1Y,2,,,World Bank,True,,,AVG,,,,,,
WB_WDI,NY.GDP.MKTP.CD, NLD ,2021,,A,USD,Value,9,P1Y,2,A,,World Bank,False,,,,,,,,,
WB_WDI,SE.PRM.ENRR,ITA,2023,97.75516495996371,A,Percent,Value,3,P1Y,2,P,F,World Bank,,,,AVG,,,,,,
WB_WDI,SP.URB.TOTL.IN.ZS,CHN,2020,59.590523838612604,A,Percent,Value,9,P1Y,2,P,F,World Bank,,,,,,,,,,
WB_WDI,SE.PRM.ENRR,POL,2021,89.51864043123409,A,Percent,Value,3,P1Y,2,,,World Bank,False,,,SUM,,,,,,
WB_WDI,SP.POP.TOTL,NLD,2019,454991707.1778821,A,Persons,Value,0,P1Y,2,P,,World Bank,True,,,SUM,,,,,,
WB_WDI,SE.PRM.ENRR,FRA,2021,92.59324476094301,A,Percent,Value,0,P1Y,2,,F,World Bank,True,,,AVG,,,,,,
WB_WDI,SP.URB.TOTL.IN.ZS,CAN,2020,83.43575726131014,A,Percent,Value,9,P1Y,2,A,F,World Bank,False,,,,,,,,,
WB_WDI,SE.PRM.ENRR,JPN,2021,97.16327324451363,A,Percent,Value,3,P1Y,2,E,,World Bank,True,,,,,,,,,
WB_WDI,SP.URB.TOTL.IN.ZS,USA,2021,49.44249078974595,A,Percent,Value,9,P1Y,2,E,F,World Bank,,Estimated value,,AVG,,,,,,
WB_WDI,SP.POP.TOTL,SAU,2015,1124672634.9877806,A,Persons,Value,6,P1Y,2,,F,World Bank,True,,,,,,,,,
WB_WDI,SP.URB.TOTL.IN.ZS,SAU,2018,75.78552437586532,A,Percent,Value,9,P1Y,2,A,,World Bank,False,Estimated value,,,,,,,,
WB_WDI,NY.GDP.MKTP.CD,DEU,2015,9502533856570.258,A,USD,Value,9,P1Y,2,P,,World Bank,False,,,,F,,,,,
WB_WDI,SE.PRM.ENRR, FRA ,2020,92.23857880521246,A,Percent,Value,3,P1Y,2,E,,World Bank,,,,,,,,,,
WB_WDI,NY.GDP.PCAP.CD, USA ,2019,46445.00334443985,A,USD,Value,3,P1Y,2,P,F,World Bank,,,,AVG,,,,,,
WB_WDI,SP.POP.TOTL,BRA,2021,1099749308.9175518,A,Persons,Value,0,P1Y,2,,,World Bank,,Estimated value,,AVG,,,,,,
WB_WDI,SP.POP.TOTL,GBR,2022,,A,Persons,Value,3,P1Y,2,E,,World Bank,True,,,SUM,F,,,,,
WB_WDI,NY.GDP.PCAP.CD, CAN ,2020,56392.49325782811,A,USD,Value,6,P1Y,2,P,F,World Bank,False,,,,,,,,,
WB_WDI,SP.URB.TOTL.IN.ZS, KOR ,2015,79.7146173379663,A,Percent,Value,6,P1Y,2,,F,World Bank,False,,,AVG,,,,,,
WB_WDI,SE.PRM.ENRR,NLD,2019,,A,Percent,Value,0,P1Y,2,,,World Bank,False,,,AVG,,,,,,
WB_WDI,NY.GDP.PCAP.CD, ITA ,2023,78983.08322056846,A,USD,Value,9,P1Y,2,,,World Bank,True,,,SUM,,,,,,
WB_WDI,NY.GDP.MKTP.CD,GBR,2023,13548718224006.447,A,USD,Value,9,P1Y,2,,,World Bank,,,,AVG,,,,,,
WB_WDI,NY.GDP.PCAP.CD,CAN,2021,1476.4604187442326,A,USD,Value,6,P1Y,2,,,World Bank,,,,SUM,,,,,,
WB_WDI,NY.GDP.PCAP.CD,TUR,2020,53610.01849725411,A,USD,Value,9,P1Y,2,E,,World Bank,False,,,,,,,,,
WB_WDI,SP.POP.TOTL,CHN,2020,801469988.5746635,A,Persons,Value,9,P1Y,2,E,,World Bank,,Estimated value,,SUM,M,,,,,
WB_WDI,SE.PRM.ENRR,IND,2016,87.53712937039393,A,Percent,Value,3,P1Y,2,,,World Bank,,,,SUM,,,,,,
WB_WDI,SP.POP.TOTL,NLD,2021,289509282.2137292,A,Persons,Value,3,P1Y,2,P,F,World Bank,,,,AVG,F,,,,,
WB_WDI,SP.POP.TOTL,AUS,2017,135621516.3773919,A,Persons,Value,9,P1Y,2,E,F,World Bank,,,,AVG,,,,,,
WB_WDI,SE.PRM.ENRR,IND,2015,86.83013222801979,A,Percent,Value,9,P1Y,2,A,F,World Bank,,,,AVG,,,,,,
WB_WDI,SP.POP.TOTL,ESP,2023,1446039609.9080765,A,Persons,Value,6,P1Y,2,A,F,World Bank,False,,,,,,,,,
WB_WDI,NY.GDP.MKTP.CD,TUR,2018,,A,USD,Value,0,P1Y,2,E,F,World Bank,,,,AVG,,,,,,
WB_WDI,NY.GDP.PCAP.CD, MEX ,2023,35509.038051172,A,USD,Value,0,P1Y,2,,,World Bank,,,,AVG,,,,,,
WB_WDI,NY.GDP.PCAP.CD,FRA,2020,57524.423352057514,A,USD,Value,3,P1Y,2,P,F,World Bank,False,,,,,,,,,
WB_WDI,NY.GDP.PCAP.CD,JPN,2015,76574.34225377077,A,USD,Value,9,P1Y,2,,,World Bank,True,,,AVG,,,,,,
WB_WDI,NY.GDP.PCAP.CD,CAN,2017,12570.285421497474,A,USD,Value,0,P1Y,2,A,F,World Bank,True,,,,M,,,,,
WB_WDI,SE.PRM.ENRR,BRA,2018,84.62807757804259,A,Percent,Value,0,P1Y,2,E,,World Bank,False,,,,,,,,,
WB_WDI,NY.GDP.PCAP.CD,GBR,2023,30254.351005785426,A,USD,Value,6,P1Y,2,A,F,World Bank,,,,SUM,,,,,,
WB_WDI,SP.URB.TOTL.IN.ZS,GBR,2018,38.17301850488897,A,Percent,Value,0,P1Y,2,P,F,World Bank,,,,,,,,,,
WB_WDI,SP.POP.TOTL, ESP ,2021,1144416958.4240336,A,Persons,Value,0,P1Y,2,,F,World Bank,True,,,AVG,,,,,,
WB_WDI,SP.URB.TOTL.IN.ZS,MEX,2019,84.93841623777553,A,Percent,Value,6,P1Y,2,E,F,World Bank,False,,,,,,,,,
WB_WDI,SP.URB.TOTL.IN.ZS,AUS,2022,57.7512421243952,A,Percent,Value,0,P1Y,2,,F,World Bank,False,,,AVG,,,,,,
WB_WDI,SE.PRM.ENRR, IND ,2019,80.31276369606827,A,Percent,Value,6,P1Y,2,E,,World Bank,False,,,,,,,,,
WB_WDI,SP.POP.TOTL, POL ,2023,928346751.5804895,A,Persons,Value,6,P1Y,2,E,,World Bank,False,,,,,,,,,
WB_WDI,SP.POP.TOTL, DEU ,2019,330751871.1369461,A,Persons,Value,0,P1Y,2,,F,World Bank,True,,,SUM,,,,,,
WB_WDI,NY.GDP.MKTP.CD,GBR,2019,8411020775904.894,A,USD,Value,0,P1Y,2,E,F,World Bank,True,,,,,,,,,
WB_WDI,SP.POP.TOTL,CAN,2023,1439478371.6761444,A,Persons,Value,0,P1Y,2,,,World Bank,True,,,,,,,,,
WB_WDI,SP.URB.TOTL.IN.ZS,CHE,2019,85.97073521939066,A,Percent,Value,3,P1Y,2,P,,World Bank,True,,,AVG,,,,,,
WB_WDI,NY.GDP.MKTP.CD,FRA,2015,1798735927585.2385,A,USD,Value,9,P1Y,2,A,,World Bank,False,,,,,,,,,
WB_WDI,NY.GDP.MKTP.CD,CAN,2022,13522494683564.207,A,USD,Value,9,P1Y,2,,,World Bank,,,,SUM,F,,,,,
WB_WDI,SE.PRM.ENRR,IND,2022,,A,Percent,Value,9,P1Y,2,A,,World Bank,True,,,,,,,,,
WB_WDI,NY.GDP.PCAP.CD,POL,2023,38204.22229520131,A,USD,Value,6,P1Y,2,E,F,World Bank,False,,,AVG,,,,,,
WB_WDI,NY.GDP.PCAP.CD, BRA ,2018,16796.906509440298,A,USD,Value,6,P1Y,2,,,World Bank,True,,,AVG,,,,,,
WB_WDI,NY.GDP.PCAP.CD,NLD,2019,65126.70722036443,A,USD,Value,3,P1Y,2,E,F,World Bank,True,,,,,,,,,
